time;x;y;z;MF
0,040;-44,50;-4,75;-67,25;80,78
0,082;-44,50;-4,75;-67,25;80,78
0,153;-44,75;-4,75;-67,25;80,92
0,185;-44,75;-4,75;-67,25;80,92
0,252;-44,50;-4,75;-67,25;80,78
0,281;-44,25;-4,25;-67,25;80,61
0,332;-44,00;-4,50;-66,50;79,87
0,382;-44,00;-4,50;-67,00;80,28
0,431;-44,25;-4,25;-67,75;81,03
0,482;-43,75;-5,00;-67,00;80,18
0,531;-44,00;-5,00;-67,00;80,31
0,582;-43,75;-4,50;-67,00;80,15
0,632;-44,25;-5,25;-67,25;80,67
0,681;-43,25;-5,25;-67,25;80,13
0,732;-43,75;-5,25;-66,75;79,98
0,783;-44,25;-5,25;-66,50;80,05
0,831;-44,50;-5,75;-66,50;80,22
0,882;-43,25;-5,00;-67,00;79,90
0,932;-43,75;-4,00;-66,75;79,91
0,982;-44,75;-4,25;-66,50;80,27
1,032;-44,50;-5,00;-66,75;80,38
1,081;-44,50;-5,00;-66,75;80,38
1,131;-44,50;-5,00;-67,00;80,59
1,183;-44,25;-4,50;-67,25;80,63
1,233;-44,25;-4,50;-68,25;81,46
1,282;-44,50;-4,00;-67,75;81,16
1,333;-44,25;-3,50;-67,25;80,58
1,385;-44,50;-4,50;-67,25;80,77
1,435;-44,50;-5,00;-67,25;80,79
1,485;-44,50;-4,75;-66,75;80,36
1,536;-44,75;-5,00;-66,50;80,31
1,586;-44,50;-5,00;-66,75;80,38
1,636;-44,75;-4,75;-66,75;80,50
1,685;-44,50;-4,75;-67,25;80,78
1,741;-45,00;-4,00;-67,50;81,22
1,787;-45,00;-4,00;-67,50;81,22
1,835;-43,75;-4,00;-67,50;80,54
1,885;-43,75;-5,00;-67,00;80,18
1,936;-44,75;-5,50;-67,00;80,76
1,988;-44,50;-5,75;-67,25;80,84
2,085;-44,00;-5,50;-67,25;80,55
2,136;-44,00;-5,50;-67,25;80,55
2,187;-44,50;-5,50;-67,00;80,62
2,236;-44,25;-5,25;-66,50;80,05
2,287;-44,50;-5,25;-67,00;80,60
2,336;-43,75;-5,75;-67,00;80,23
2,388;-43,75;-5,75;-67,00;80,23
2,443;-43,75;-5,75;-67,00;80,23
2,486;-43,75;-5,50;-67,75;80,84
2,537;-43,75;-5,25;-67,75;80,82
2,588;-44,00;-5,00;-67,25;80,52
2,642;-44,00;-4,75;-67,75;80,92
2,686;-44,75;-5,00;-67,75;81,35
2,738;-44,00;-4,75;-67,50;80,71
2,788;-43,75;-5,00;-67,00;80,18
2,839;-43,50;-5,00;-67,50;80,46
2,887;-44,50;-5,50;-68,00;81,45
2,943;-44,00;-5,00;-67,50;80,73
2,987;-43,75;-5,00;-67,25;80,38
3,086;-44,50;-5,25;-67,25;80,81
3,137;-44,00;-5,00;-67,25;80,52
3,187;-43,50;-4,50;-67,25;80,22
3,243;-43,50;-5,25;-67,75;80,68
3,287;-43,50;-5,00;-68,50;81,30
3,342;-43,50;-5,00;-67,75;80,67
