time;x;y;z;MF
0,011;-44,25;-4,25;-66,25;79,78
0,031;-43,75;-4,25;-66,25;79,51
0,087;-43,75;-4,00;-65,50;78,87
0,153;-44,00;-4,50;-65,75;79,24
0,184;-44,75;-5,25;-65,50;79,50
0,253;-44,25;-4,75;-65,50;79,19
0,300;-44,25;-4,25;-65,25;78,95
0,337;-44,00;-4,25;-65,75;79,23
0,380;-44,50;-4,50;-66,00;79,73
0,436;-44,25;-4,50;-66,25;79,80
0,478;-44,00;-4,75;-66,25;79,67
0,535;-44,00;-4,50;-65,75;79,24
0,580;-44,00;-4,50;-65,75;79,24
0,638;-44,00;-4,50;-65,75;79,24
0,680;-44,00;-4,50;-65,75;79,24
0,735;-44,00;-4,50;-65,75;79,24
0,780;-44,00;-4,50;-65,75;79,24
0,835;-44,00;-4,50;-65,75;79,24
0,880;-44,00;-4,50;-65,75;79,24
0,938;-44,00;-4,50;-65,75;79,24
0,980;-44,00;-4,50;-65,75;79,24
1,033;-44,00;-4,50;-65,75;79,24
1,079;-44,00;-4,50;-65,75;79,24
1,135;-44,00;-4,50;-65,75;79,24
1,182;-44,00;-4,50;-65,75;79,24
1,233;-44,00;-4,50;-65,75;79,24
1,280;-44,00;-4,50;-65,75;79,24
1,333;-44,00;-4,50;-65,75;79,24
1,383;-44,00;-4,50;-65,75;79,24
1,437;-44,50;-5,25;-66,25;79,98
1,540;-44,25;-4,25;-66,50;79,99
1,582;-44,25;-4,25;-66,50;79,99
1,632;-44,25;-4,50;-66,50;80,00
1,681;-44,50;-4,50;-66,25;79,93
1,736;-43,75;-5,00;-66,00;79,34
1,783;-43,25;-4,25;-66,00;79,02
1,882;-44,00;-5,00;-66,25;79,69
1,936;-44,25;-4,00;-65,75;79,35
1,982;-44,00;-4,50;-65,25;78,83
2,040;-43,75;-4,50;-65,50;78,90
2,081;-43,75;-4,25;-66,25;79,51
2,131;-43,75;-4,25;-65,75;79,09
2,183;-44,00;-4,50;-65,75;79,24
2,231;-44,25;-4,25;-66,25;79,78
2,281;-44,00;-4,25;-66,25;79,64
2,332;-43,75;-4,25;-66,00;79,30
2,383;-43,50;-4,25;-65,50;78,74
2,431;-44,25;-5,00;-66,50;80,03
2,481;-44,00;-4,50;-66,50;79,87
2,532;-44,50;-4,25;-66,25;79,92
2,583;-44,50;-4,25;-66,25;79,92
2,682;-44,00;-5,00;-66,00;79,48
2,732;-44,00;-4,75;-66,00;79,46
2,783;-44,50;-4,50;-65,75;79,52
2,833;-44,00;-5,00;-66,25;79,69
2,883;-44,00;-5,00;-66,25;79,69
2,932;-44,00;-5,00;-66,25;79,69
2,983;-44,00;-5,00;-66,25;79,69
3,033;-44,00;-5,00;-66,25;79,69
3,084;-44,00;-5,00;-66,25;79,69
3,133;-44,00;-5,00;-66,25;79,69
3,184;-44,00;-5,00;-66,25;79,69
3,234;-44,00;-5,00;-66,25;79,69
3,284;-44,00;-5,00;-66,25;79,69
3,333;-44,00;-5,00;-66,25;79,69
3,385;-44,00;-5,00;-66,25;79,69
3,433;-44,00;-5,00;-66,25;79,69
3,483;-44,00;-5,00;-66,25;79,69
3,534;-44,00;-5,00;-66,25;79,69
3,585;-44,00;-5,00;-66,25;79,69
3,685;-44,00;-5,00;-66,25;79,69
3,756;-44,00;-5,00;-66,25;79,69
3,787;-44,00;-5,00;-66,25;79,69
3,885;-43,00;-5,25;-66,25;79,16
3,934;-43,00;-5,25;-66,25;79,16
3,988;-42,25;-5,00;-66,25;78,73
4,086;-43,50;-5,75;-66,25;79,46
4,151;-44,00;-4,75;-66,25;79,67
4,187;-43,75;-4,50;-66,25;79,52
4,254;-43,75;-4,25;-65,75;79,09
4,286;-44,00;-4,50;-66,25;79,66
4,362;-43,50;-4,00;-66,00;79,15
4,462;-44,25;-4,75;-66,50;80,02
4,537;-44,00;-4,75;-66,00;79,46
4,600;-43,50;-4,25;-65,75;78,95
4,638;-44,25;-4,25;-66,50;79,99
4,699;-44,25;-4,50;-66,25;79,80
4,788;-44,50;-4,00;-66,25;79,91
4,838;-45,00;-4,50;-66,00;80,01
4,888;-44,50;-4,50;-66,00;79,73
4,939;-43,75;-4,50;-66,00;79,31
4,993;-44,75;-5,25;-66,00;79,91
5,088;-43,75;-4,25;-66,00;79,30
5,139;-43,50;-4,25;-65,25;78,54
5,195;-44,50;-4,75;-65,75;79,54
