
time;gfx;gFy;gFz;Bx;By;Bz;
0,0120;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0130;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0140;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0150;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0250;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0380;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0520;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0530;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0680;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0760;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0860;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,0990;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,1030;-0,0059;-0,0977;0,9870;-18,2500;-0,2500;26,0000;
0,1120;0,0059;-0,1134;0,9890;-18,2500;-0,2500;26,0000;
0,1130;0,0059;-0,1134;0,9890;-18,2500;-0,2500;26,0000;
0,1170;0,0059;-0,1134;0,9890;-18,2500;-0,2500;26,0000;
0,1280;0,0059;-0,1134;0,9890;-18,2500;-0,2500;26,0000;
0,1340;0,0059;-0,1134;0,9890;-18,2500;-0,2500;26,0000;
0,1450;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1460;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1530;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1630;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1760;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1830;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,1960;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2030;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2140;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2240;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2330;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2450;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2530;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2670;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2740;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2830;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,2960;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,3030;0,0059;-0,1134;0,9890;-17,7500;0,2500;26,0000;
0,3120;0,0059;-0,1094;0,9870;-17,7500;0,2500;26,0000;
0,3140;0,0059;-0,1094;0,9870;-17,7500;0,2500;26,0000;
0,3160;0,0059;-0,1094;0,9870;-17,7500;0,2500;26,0000;
0,3250;0,0059;-0,1094;0,9870;-17,7500;0,2500;26,0000;
0,3330;0,0059;-0,1094;0,9870;-17,7500;0,2500;26,0000;
0,3420;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3450;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3530;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3630;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3750;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3830;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,3960;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4110;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4200;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4260;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4340;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4450;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4530;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4630;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4730;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4830;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,4940;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,5030;0,0059;-0,1094;0,9870;-17,2500;0,2500;26,0000;
0,5110;0,0078;-0,1075;0,9890;-17,2500;0,2500;26,0000;
0,5120;0,0078;-0,1075;0,9890;-17,2500;0,2500;26,0000;
0,5140;0,0078;-0,1075;0,9890;-17,2500;0,2500;26,0000;
0,5240;0,0078;-0,1075;0,9890;-17,2500;0,2500;26,0000;
0,5330;0,0078;-0,1075;0,9890;-17,2500;0,2500;26,0000;
0,5450;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5460;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5530;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5630;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5730;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5830;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,5960;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6030;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6130;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6230;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6330;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6450;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6530;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6630;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6730;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6830;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,6950;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7110;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7130;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7140;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7160;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7320;0,0078;-0,1075;0,9890;-17,5000;0,0000;25,5000;
0,7480;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,7540;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,7710;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,7870;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8000;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8080;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8210;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8370;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8530;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8670;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8790;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,8910;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,9170;0,0078;-0,1075;0,9890;-16,7500;-0,2500;27,0000;
0,9190;0,0078;-0,1055;0,9870;-16,7500;-0,2500;27,0000;
0,9220;0,0078;-0,1055;0,9870;-16,7500;-0,2500;27,0000;
0,9260;0,0078;-0,1055;0,9870;-16,7500;-0,2500;27,0000;
0,9270;0,0078;-0,1055;0,9870;-16,7500;-0,2500;27,0000;
0,9330;0,0078;-0,1055;0,9870;-16,7500;-0,2500;27,0000;
0,9480;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
0,9500;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
0,9600;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
0,9710;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
0,9860;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0030;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0180;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0300;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0460;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0550;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0660;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0780;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,0900;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,1100;0,0078;-0,1055;0,9870;-18,2500;-1,0000;26,2500;
1,1120;0,0078;-0,1075;0,9890;-18,2500;-1,0000;26,2500;
1,1140;0,0078;-0,1075;0,9890;-18,2500;-1,0000;26,2500;
1,1290;0,0078;-0,1075;0,9890;-18,2500;-1,0000;26,2500;
1,1380;0,0078;-0,1075;0,9890;-18,2500;-1,0000;26,2500;
1,1490;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,1510;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,1720;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,1870;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,1950;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2080;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2210;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2330;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2430;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2550;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2690;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2750;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2870;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,2950;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,3060;0,0078;-0,1075;0,9890;-17,7500;-0,7500;26,2500;
1,3120;0,0059;-0,1114;0,9870;-17,7500;-0,7500;26,2500;
1,3130;0,0059;-0,1114;0,9870;-17,7500;-0,7500;26,2500;
1,3200;0,0059;-0,1114;0,9870;-17,7500;-0,7500;26,2500;
1,3320;0,0059;-0,1114;0,9870;-17,7500;-0,7500;26,2500;
1,3520;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,3530;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,3670;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,3790;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,3920;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4080;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4150;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4330;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4340;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4430;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4610;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4770;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4870;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,4960;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,5060;0,0059;-0,1114;0,9870;-17,2500;-0,5000;27,0000;
1,5120;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5130;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5210;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5400;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5590;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5690;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5750;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5870;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,5940;0,0078;-0,1075;0,9890;-17,2500;-0,5000;27,0000;
1,6090;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6200;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6340;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6490;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6680;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6760;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,6890;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,7020;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,7120;0,0078;-0,1075;0,9890;-17,0000;-1,5000;27,0000;
1,7140;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7150;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7160;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7360;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7370;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7500;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7690;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7800;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7870;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,7990;0,0078;-0,1075;0,9870;-17,0000;-1,5000;27,0000;
1,8140;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8160;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8300;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8440;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8550;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8630;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8730;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8830;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,8930;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,9040;0,0078;-0,1075;0,9870;-17,7500;-0,7500;26,7500;
1,9120;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9130;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9140;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9230;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9430;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9470;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9550;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9630;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9730;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9830;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
1,9930;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0060;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0140;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0230;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0350;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0440;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0540;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
2,0550;0,0098;-0,1055;0,9870;-17,7500;-0,7500;26,7500;
