time;x;y;z;MF
0,007;-44,50;-5,00;-67,25;80,79
0,068;-44,50;-5,00;-67,25;80,79
0,110;-44,50;-5,00;-67,25;80,79
0,160;-44,50;-5,00;-67,25;80,79
0,211;-44,50;-5,00;-67,25;80,79
0,259;-44,50;-5,00;-67,25;80,79
0,307;-44,25;-4,00;-67,50;80,81
0,358;-44,00;-4,00;-67,25;80,46
0,406;-44,00;-5,00;-66,75;80,10
0,458;-44,25;-4,75;-67,00;80,43
0,558;-44,00;-4,75;-66,50;79,88
0,608;-44,50;-4,75;-66,50;80,16
0,659;-44,25;-4,75;-66,75;80,23
0,707;-43,75;-4,75;-67,25;80,37
0,759;-43,75;-4,75;-67,00;80,16
0,858;-43,50;-4,50;-67,50;80,43
0,907;-43,50;-4,50;-67,50;80,43
0,958;-43,50;-4,50;-67,50;80,43
1,007;-44,50;-4,25;-67,50;80,96
1,059;-43,75;-4,25;-67,25;80,34
1,109;-43,00;-4,50;-67,00;79,74
1,170;-44,00;-5,00;-67,00;80,31
1,208;-43,50;-4,50;-66,75;79,80
1,259;-43,50;-4,75;-67,25;80,23
1,308;-43,00;-4,75;-67,75;80,38
1,362;-44,25;-5,25;-66,75;80,26
1,465;-43,50;-4,25;-67,00;80,00
1,509;-43,50;-4,25;-67,00;80,00
1,562;-44,25;-4,25;-67,25;80,61
1,663;-43,50;-4,25;-67,75;80,62
1,762;-43,75;-4,00;-67,25;80,33
1,811;-44,00;-4,25;-67,50;80,69
1,878;-44,50;-4,50;-67,00;80,56
1,912;-44,75;-5,00;-66,75;80,52
1,969;-44,00;-4,75;-67,25;80,51
2,013;-44,25;-4,25;-67,25;80,61
2,064;-44,25;-4,25;-67,00;80,41
2,113;-44,25;-4,25;-67,00;80,41
2,170;-44,25;-4,25;-67,00;80,41
2,264;-45,00;-4,50;-67,25;81,04
2,314;-44,75;-4,75;-67,00;80,71
2,366;-44,25;-4,50;-66,75;80,21
2,413;-44,50;-4,75;-67,25;80,78
2,483;-44,25;-4,75;-68,00;81,27
