time;x;y;z;MF
0,019;-43,75;-5,25;-66,25;79,57
0,065;-43,50;-5,00;-66,00;79,20
0,144;-44,25;-4,75;-66,25;79,81
0,178;-44,25;-4,50;-66,50;80,00
0,217;-43,75;-4,75;-66,50;79,74
0,263;-43,50;-4,75;-66,50;79,61
0,361;-43,75;-4,25;-66,50;79,71
0,411;-43,25;-4,50;-66,75;79,66
0,461;-42,75;-4,00;-66,25;78,95
0,510;-43,50;-5,00;-66,25;79,41
0,561;-43,50;-4,75;-66,75;79,81
0,611;-43,25;-4,50;-66,75;79,66
0,661;-43,25;-4,75;-66,50;79,47
0,710;-44,00;-5,00;-66,75;80,10
0,761;-44,00;-4,50;-67,00;80,28
0,812;-44,00;-4,00;-67,00;80,26
0,862;-44,00;-4,00;-67,00;80,26
0,913;-43,50;-4,00;-66,75;79,77
0,961;-43,25;-4,25;-66,25;79,23
1,011;-43,50;-4,50;-66,25;79,38
1,063;-43,75;-5,00;-66,50;79,76
1,113;-43,50;-5,50;-66,75;79,86
1,171;-43,50;-5,50;-66,75;79,86
1,213;-42,25;-5,50;-66,50;78,98
1,264;-42,75;-5,00;-66,50;79,21
1,365;-42,75;-4,75;-66,75;79,41
1,463;-42,75;-5,00;-66,25;79,00
1,513;-43,00;-4,50;-65,50;78,48
1,577;-43,00;-4,75;-65,25;78,29
1,613;-42,75;-5,00;-66,00;78,79
1,665;-43,25;-5,50;-66,50;79,52
1,764;-43,25;-4,75;-66,75;79,68
1,813;-44,00;-5,00;-66,25;79,69
1,865;-44,00;-5,00;-66,25;79,69
1,915;-44,00;-5,00;-66,00;79,48
1,971;-43,25;-5,00;-66,25;79,28
2,017;-43,75;-4,75;-66,50;79,74
2,065;-43,50;-5,25;-66,50;79,64
2,113;-43,50;-5,00;-66,75;79,83
2,165;-43,50;-5,00;-66,25;79,41
2,214;-44,00;-5,00;-66,75;80,10
2,268;-44,00;-5,00;-66,75;80,10
2,364;-44,00;-5,00;-66,75;80,10
2,415;-44,00;-5,00;-66,75;80,10
2,466;-44,00;-5,00;-66,75;80,10
2,566;-44,00;-5,00;-66,75;80,10
2,615;-44,00;-5,00;-66,75;80,10
2,673;-44,00;-5,00;-66,75;80,10
2,720;-44,00;-5,00;-66,75;80,10
2,771;-44,00;-5,00;-66,75;80,10
2,821;-44,00;-5,00;-66,75;80,10
2,871;-44,00;-5,00;-66,75;80,10
2,921;-44,00;-5,00;-66,75;80,10
2,971;-44,00;-5,00;-66,75;80,10
3,020;-44,00;-5,00;-66,75;80,10
3,072;-44,75;-4,75;-66,75;80,50
3,122;-44,25;-5,00;-66,75;80,24
3,172;-44,25;-4,75;-66,75;80,23
3,221;-44,50;-4,50;-66,25;79,93
3,273;-44,25;-5,00;-66,00;79,62
3,321;-44,00;-5,25;-66,00;79,50
3,372;-44,25;-5,25;-66,00;79,63
3,422;-44,50;-4,75;-65,75;79,54
3,473;-44,50;-4,75;-65,75;79,54
3,521;-44,50;-4,75;-65,75;79,54
3,572;-44,50;-4,75;-65,75;79,54
3,629;-44,00;-5,50;-65,50;79,10
3,729;-43,75;-5,50;-66,50;79,79
3,779;-43,50;-5,25;-66,50;79,64
3,877;-44,00;-5,00;-66,50;79,90
3,977;-44,50;-4,50;-66,50;80,14
4,027;-43,50;-4,00;-66,00;79,15
4,077;-43,50;-4,25;-66,00;79,16
4,127;-44,25;-4,75;-66,50;80,02
4,177;-43,50;-4,75;-66,50;79,61
4,226;-43,25;-5,00;-66,25;79,28
4,277;-43,75;-5,50;-66,25;79,58
4,327;-44,25;-5,75;-67,00;80,50
4,377;-44,00;-5,00;-66,50;79,90
4,426;-43,50;-4,75;-66,50;79,61
4,478;-43,25;-4,75;-67,00;79,89
4,526;-42,75;-4,75;-67,25;79,83
4,577;-43,00;-4,75;-66,50;79,33
4,626;-43,25;-4,25;-66,25;79,23
4,678;-43,50;-5,00;-66,75;79,83
4,726;-43,75;-5,25;-66,50;79,77
4,777;-44,00;-4,50;-66,00;79,45
4,826;-44,00;-4,00;-66,00;79,42
4,878;-44,00;-4,00;-66,00;79,42
4,926;-43,50;-4,00;-66,25;79,36
4,976;-43,00;-4,50;-65,50;78,48
5,027;-42,75;-4,00;-65,25;78,11
5,078;-43,25;-4,50;-66,00;79,04
5,179;-43,50;-4,25;-66,25;79,37
5,227;-43,75;-4,75;-66,25;79,53
5,277;-43,75;-4,75;-66,75;79,95
5,326;-43,50;-4,50;-66,25;79,38
5,377;-43,50;-5,00;-66,25;79,41
5,428;-43,75;-5,25;-66,00;79,36
5,478;-44,75;-4,25;-66,25;80,06
5,578;-43,00;-4,50;-65,50;78,48
5,628;-43,75;-5,00;-65,50;78,93
5,678;-44,00;-5,25;-65,75;79,29
5,727;-44,00;-5,25;-65,75;79,29
5,778;-44,00;-4,50;-66,00;79,45
5,828;-44,50;-4,75;-66,00;79,74
5,878;-44,50;-4,75;-66,00;79,74
5,927;-43,50;-4,75;-65,75;78,98
5,978;-43,50;-4,75;-66,00;79,19
6,027;-44,25;-4,75;-66,25;79,81
6,078;-43,75;-4,75;-66,25;79,53
6,127;-43,50;-4,75;-66,50;79,61
6,178;-43,00;-4,75;-66,00;78,91
6,227;-43,75;-4,75;-66,25;79,53
6,278;-43,50;-4,50;-66,50;79,59
6,328;-43,50;-5,00;-66,75;79,83
6,378;-43,50;-5,75;-66,25;79,46
6,428;-44,25;-5,50;-66,25;79,86
6,478;-44,00;-5,25;-66,50;79,91
6,527;-44,25;-5,00;-66,50;80,03
6,578;-43,75;-4,75;-66,75;79,95
6,628;-44,50;-5,00;-66,25;79,96
6,680;-44,25;-5,25;-66,25;79,84
6,729;-44,00;-5,25;-66,00;79,50
6,780;-43,50;-5,50;-66,50;79,65
6,829;-43,25;-5,00;-66,50;79,48
6,884;-43,25;-5,00;-66,50;79,48
6,929;-42,75;-5,00;-66,25;79,00
6,982;-42,75;-5,50;-66,75;79,46
7,082;-43,00;-5,25;-66,75;79,57
7,185;-44,00;-5,25;-66,50;79,91
7,286;-43,25;-4,25;-65,75;78,81
7,330;-44,25;-4,75;-66,25;79,81
7,381;-43,50;-4,75;-66,00;79,19
7,429;-43,50;-5,00;-66,00;79,20
7,488;-42,75;-5,25;-65,75;78,60
7,583;-43,25;-4,50;-65,50;78,62
7,630;-42,50;-3,75;-65,75;78,38
7,708;-42,50;-4,75;-66,50;79,06
7,780;-42,75;-5,00;-66,50;79,21
7,830;-42,75;-5,50;-66,50;79,25
7,884;-42,75;-5,50;-66,50;79,25
7,986;-43,50;-5,25;-66,75;79,85
8,086;-44,25;-4,75;-66,25;79,81
8,188;-43,50;-4,75;-66,25;79,40
8,282;-45,00;-5,50;-66,00;80,07
8,332;-44,25;-5,00;-66,00;79,62
8,382;-43,50;-5,50;-65,50;78,82
8,432;-42,00;-8,50;-66,00;78,69
8,485;-29,50;-26,75;-73,00;83,16
8,534;-100,75;269,00;-42,00;290,30
8,585;-78,50;146,75;-41,00;171,40
8,635;-59,75;61,75;-52,25;100,56
8,690;-49,75;22,00;-59,25;80,43
8,787;-44,75;-0,50;-65,25;79,12
8,889;-44,25;-3,00;-66,25;79,73
8,936;-44,50;-4,25;-66,50;80,13
8,986;-45,00;-4,75;-66,25;80,23
9,036;-44,25;-5,00;-66,50;80,03
9,088;-44,25;-4,25;-66,25;79,78
9,189;-44,75;-4,75;-66,50;80,30
9,238;-44,25;-4,25;-66,75;80,20
9,291;-44,00;-4,25;-65,75;79,23
9,340;-43,75;-4,75;-65,50;78,91
9,391;-44,25;-5,00;-65,75;79,41
9,440;-43,25;-5,00;-65,75;78,86
9,503;-44,25;-5,00;-66,00;79,62
9,541;-43,75;-4,75;-65,75;79,12
9,603;-43,75;-5,25;-65,75;79,15
9,643;-44,00;-6,50;-65,75;79,38
9,697;-42,00;-7,75;-64,25;77,15
9,745;-37,75;-18,00;-53,75;68,10
9,798;-133,50;74,25;183,00;238,38
9,844;-133,50;74,25;183,00;238,38
9,897;-96,00;38,00;82,50;132,16
9,943;-67,00;13,25;3,00;68,36
10,001;-54,00;1,50;-36,50;65,20
10,044;-47,75;-2,75;-54,00;72,14
10,101;-45,25;-4,00;-60,75;75,86
10,143;-44,00;-4,25;-63,50;77,37
10,198;-44,75;-4,50;-64,75;78,84
10,244;-44,00;-4,50;-65,25;78,83
10,302;-44,25;-4,50;-65,50;79,17
10,344;-44,25;-4,75;-66,00;79,60
10,403;-44,25;-4,25;-66,25;79,78
10,444;-44,25;-4,25;-66,25;79,78
10,503;-44,00;-4,25;-66,50;79,85
10,547;-43,50;-5,25;-66,75;79,85
10,603;-43,25;-4,75;-66,50;79,47
10,649;-43,50;-4,75;-66,75;79,81
10,705;-44,00;-4,75;-66,50;79,88
10,753;-43,50;-4,50;-66,50;79,59
10,805;-43,50;-4,75;-66,50;79,61
10,854;-43,50;-4,75;-66,50;79,61
10,904;-43,25;-5,25;-66,25;79,29
10,953;-42,00;-7,00;-65,75;78,33
11,004;-36,00;-13,00;-66,75;76,95
11,054;55,25;-28,75;-126,50;141,00
11,106;-1,25;-66,75;-10,00;67,51
11,155;-22,00;-47,00;-22,75;56,66
11,206;-33,25;-26,25;-44,00;61,08
11,256;-38,25;-14,50;-56,50;69,75
11,306;-40,50;-8,75;-61,50;74,16
11,356;-42,50;-6,75;-63,75;76,91
11,406;-43,50;-5,50;-65,25;78,61
11,455;-43,50;-5,25;-65,75;79,01
11,506;-43,00;-4,75;-65,75;78,71
11,556;-43,50;-5,25;-65,50;78,80
11,605;-43,75;-5,50;-65,50;78,96
11,656;-43,50;-5,25;-66,00;79,22
11,708;-43,50;-4,75;-66,25;79,40
11,756;-43,25;-5,25;-66,75;79,71
11,806;-43,25;-5,25;-66,75;79,71
11,856;-43,25;-5,25;-66,75;79,71
11,907;-43,25;-5,25;-66,75;79,71
11,957;-44,00;-5,00;-66,75;80,10
12,008;-44,50;-5,00;-66,75;80,38
12,057;-43,25;-4,75;-66,50;79,47
12,108;-43,50;-5,00;-65,75;79,00
12,158;-42,50;-5,00;-65,25;78,03
12,209;-42,50;-6,50;-64,25;77,31
12,258;-43,75;-12,00;-60,75;75,82
12,309;-62,25;-42,75;-7,50;75,89
12,359;-137,50;-307,00;-236,75;411,35
12,409;-99,25;-199,00;-173,50;282,05
12,459;-70,00;-100,50;-117,00;169,38
12,509;-55,50;-47,75;-88,00;114,47
12,558;-48,50;-23,00;-75,00;92,23
12,608;-45,50;-12,50;-69,50;84,00
12,659;-45,25;-7,25;-67,75;81,79
12,710;-44,25;-5,25;-66,75;80,26
12,759;-44,00;-4,75;-66,25;79,67
12,809;-43,25;-4,75;-65,50;78,63
12,860;-43,25;-4,75;-65,50;78,63
12,910;-42,75;-5,00;-65,50;78,38
12,960;-43,25;-4,75;-65,25;78,43
13,010;-44,00;-5,00;-65,75;79,27
13,059;-44,00;-4,25;-65,75;79,23
13,112;-43,50;-3,75;-66,00;79,13
13,160;-43,25;-4,50;-65,75;78,83
13,212;-43,75;-4,50;-66,25;79,52
13,261;-43,50;-4,75;-65,75;78,98
13,323;-43,00;-4,00;-66,00;78,87
