
time;gfx;gFy;gFz;Bx;By;Bz;
0,0040;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0050;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0170;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0180;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0350;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0390;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0510;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0570;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0670;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,0880;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,1000;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,1070;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,1170;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,1280;-0,0078;-0,0977;1,0007;-5,2500;-0,2500;37,2500;
0,1370;-0,0078;-0,0977;1,0007;-5,2500;0,2500;37,5000;
0,1390;-0,0078;-0,0977;1,0007;-5,2500;0,2500;37,5000;
0,1470;-0,0078;-0,0977;1,0007;-5,2500;0,2500;37,5000;
0,1570;-0,0078;-0,0977;1,0007;-5,2500;0,2500;37,5000;
0,1670;-0,0078;-0,0977;1,0007;-5,2500;0,2500;37,5000;
0,1770;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,1780;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,1800;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,1880;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2000;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2070;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2170;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2270;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2390;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2470;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2570;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2680;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2770;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2890;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,2970;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,3070;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,3170;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,3280;0,0039;-0,1075;0,9890;-5,2500;0,2500;37,5000;
0,3380;0,0039;-0,1075;0,9890;-6,0000;0,2500;37,7500;
0,3400;0,0039;-0,1075;0,9890;-6,0000;0,2500;37,7500;
0,3470;0,0039;-0,1075;0,9890;-6,0000;0,2500;37,7500;
0,3570;0,0039;-0,1075;0,9890;-6,0000;0,2500;37,7500;
0,3670;0,0039;-0,1075;0,9890;-6,0000;0,2500;37,7500;
0,3780;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,3790;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,3800;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,3890;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,3980;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4070;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4170;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4280;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4410;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4470;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4570;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4670;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4780;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4880;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,4970;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,5070;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,5170;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,5270;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,5380;0,0059;-0,1134;0,9870;-6,0000;0,2500;37,7500;
0,5400;0,0059;-0,1134;0,9870;-5,5000;0,5000;37,5000;
0,5480;0,0059;-0,1134;0,9870;-5,5000;0,5000;37,5000;
0,5570;0,0059;-0,1134;0,9870;-5,5000;0,5000;37,5000;
0,5670;0,0059;-0,1134;0,9870;-5,5000;0,5000;37,5000;
0,5760;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,5770;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,5780;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,5870;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,5980;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6070;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6170;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6270;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6370;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6470;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6570;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6670;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6770;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,6870;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7010;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7080;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7200;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7270;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7380;0,0039;-0,1094;0,9870;-5,5000;0,5000;37,5000;
0,7420;0,0039;-0,1094;0,9870;-6,0000;0,7500;37,5000;
0,7470;0,0039;-0,1094;0,9870;-6,0000;0,7500;37,5000;
0,7570;0,0039;-0,1094;0,9870;-6,0000;0,7500;37,5000;
0,7730;0,0039;-0,1094;0,9870;-6,0000;0,7500;37,5000;
0,7760;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,7780;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,7790;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,7870;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,7980;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8070;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8170;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8270;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8370;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8470;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8570;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8670;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8780;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8870;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,8980;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,9070;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,9170;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,9270;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,9370;0,0020;-0,1134;0,9890;-6,0000;0,7500;37,5000;
0,9420;0,0020;-0,1134;0,9890;-5,2500;0,7500;38,0000;
0,9470;0,0020;-0,1134;0,9890;-5,2500;0,7500;38,0000;
0,9570;0,0020;-0,1134;0,9890;-5,2500;0,7500;38,0000;
0,9670;0,0020;-0,1134;0,9890;-5,2500;0,7500;38,0000;
0,9760;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
0,9770;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
0,9780;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
0,9870;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
0,9970;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0070;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0170;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0270;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0380;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0470;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0570;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0670;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0780;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0870;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,0970;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,1070;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,1170;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,1270;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,1370;0,0000;-0,0958;0,9890;-5,2500;0,7500;38,0000;
1,1420;0,0000;-0,0958;0,9890;-5,7500;0,0000;38,0000;
1,1470;0,0000;-0,0958;0,9890;-5,7500;0,0000;38,0000;
1,1570;0,0000;-0,0958;0,9890;-5,7500;0,0000;38,0000;
1,1670;0,0000;-0,0958;0,9890;-5,7500;0,0000;38,0000;
1,1760;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,1770;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,1790;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2070;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2080;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2090;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2190;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2270;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2370;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2470;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2570;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2670;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2770;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
1,2870;0,0000;-0,1114;0,9890;-5,7500;0,0000;38,0000;
