
time;gfx;gFy;gFz;Bx;By;Bz;
0,0260;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0270;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0280;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0290;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0300;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0310;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0320;0,0000;-0,1055;0,9870;-6,7500;-7,5000;36,2500;
0,0320;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0330;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0340;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0390;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0550;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0640;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0770;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0800;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0870;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,0970;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,1070;-0,0039;-0,0977;0,9890;-6,7500;-7,5000;36,2500;
0,1120;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1170;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1270;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1370;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1480;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1570;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1670;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1770;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1870;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,1980;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,2070;-0,0039;-0,0977;0,9890;-6,7500;-7,2500;36,0000;
0,2150;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2160;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2220;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2270;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2370;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2470;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2570;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2670;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2770;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,2870;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,3080;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,3120;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
0,3140;0,0020;-0,1192;0,9890;-6,7500;-7,2500;36,0000;
