time;x;y;z;MF
7,412;-43,50;-5,25;-66,50;79,64
7,461;-43,75;-5,25;-66,50;79,77
7,512;-43,50;-6,25;-65,75;79,08
7,561;-41,50;-9,50;-63,00;76,04
7,616;-28,75;-31,00;-26,50;49,90
7,661;57,75;143,00;-579,50;599,67
7,718;33,50;70,25;-381,25;389,11
7,765;-2,50;27,00;-214,25;215,96
7,816;-24,50;7,50;-130,00;132,50
7,864;-35,25;-0,25;-92,75;99,22
7,915;-39,75;-2,75;-77,25;86,92
7,966;-42,50;-4,50;-71,50;83,30
8,015;-43,25;-5,25;-68,25;80,97
8,065;-43,25;-5,25;-68,25;80,97
8,115;-43,25;-4,50;-67,75;80,50
8,166;-43,75;-4,75;-67,25;80,37
8,216;-43,50;-5,00;-67,00;80,04
8,266;-43,25;-4,50;-66,75;79,66
8,317;-43,25;-4,75;-66,75;79,68
8,368;-43,75;-4,75;-66,50;79,74
8,418;-43,00;-4,25;-66,25;79,10
8,467;-44,00;-4,25;-65,75;79,23
8,517;-44,00;-4,00;-66,00;79,42
8,569;-44,00;-4,00;-66,50;79,84
8,619;-44,00;-4,00;-66,50;79,84
8,669;-44,00;-4,50;-66,50;79,87
8,718;-44,00;-5,00;-66,75;80,10
8,770;-42,75;-4,50;-66,50;79,18
8,820;-41,50;-3,50;-65,25;77,41
8,869;-34,00;0,75;-62,50;71,15
8,921;105,25;198,50;91,50;242,59
8,969;77,75;111,75;51,50;145,55
9,021;21,75;48,00;-5,50;52,98
9,069;21,75;48,00;-5,50;52,98
9,119;-13,75;17,25;-39,50;45,24
9,169;-31,25;3,50;-54,75;63,14
9,220;-38,50;-1,75;-61,25;72,37
9,270;-41,75;-4,00;-64,50;76,94
9,321;-43,25;-5,00;-65,50;78,65
9,370;-43,50;-4,75;-65,75;78,98
9,470;-43,75;-4,75;-66,75;79,95
9,521;-43,75;-4,75;-67,25;80,37
9,571;-43,50;-4,75;-66,50;79,61
9,620;-44,00;-5,00;-66,50;79,90
9,670;-44,50;-5,00;-66,75;80,38
9,720;-43,50;-5,25;-66,75;79,85
9,770;-43,25;-4,50;-66,25;79,25
9,821;-44,25;-4,25;-66,50;79,99
9,870;-43,75;-4,75;-66,75;79,95
9,919;-43,50;-5,50;-66,25;79,45
9,970;-43,50;-5,75;-66,25;79,46
10,020;-44,00;-6,25;-66,00;79,57
10,121;-39,50;-17,00;-55,25;70,01
10,171;-66,75;-38,50;210,00;223,69
10,220;36,75;-102,50;51,00;120,24
10,270;15,50;-68,50;-19,00;72,76
10,320;-12,00;-37,00;-47,25;61,20
10,372;-28,50;-19,25;-58,25;67,65
10,421;-37,25;-11,00;-63,25;74,22
10,470;-40,75;-7,50;-65,00;77,08
10,520;-42,00;-5,75;-65,50;78,02
10,572;-43,50;-5,00;-65,75;79,00
10,622;-43,50;-5,00;-66,50;79,62
10,672;-43,00;-5,25;-66,75;79,57
10,722;-42,75;-5,25;-66,00;78,81
10,772;-43,50;-5,00;-66,00;79,20
10,822;-43,75;-4,75;-66,50;79,74
10,871;-43,75;-4,75;-66,75;79,95
10,925;-43,50;-4,75;-66,00;79,19
10,973;-44,25;-4,50;-66,25;79,80
11,022;-44,25;-4,50;-66,25;79,80
11,123;-44,25;-4,50;-66,50;80,00
11,173;-44,50;-4,25;-66,75;80,34
11,222;-44,25;-3,50;-66,25;79,75
11,271;-44,00;-3,50;-65,75;79,19
11,324;-44,00;-2,50;-64,75;78,33
11,373;-44,50;3,50;-61,25;75,79
11,472;193,00;132,00;-5,25;233,88
11,523;105,50;82,50;-33,25;137,99
11,573;29,00;37,75;-50,50;69,40
11,631;-11,25;13,50;-59,25;61,80
11,730;-38,00;-2,25;-65,25;75,54
11,831;-42,00;-4,75;-65,25;77,74
11,877;-43,00;-5,50;-66,25;79,17
11,929;-43,50;-5,50;-66,50;79,65
11,977;-43,75;-5,25;-66,50;79,77
12,032;-43,75;-5,25;-66,50;79,77
12,078;-43,75;-5,25;-66,50;79,77
12,130;-43,50;-5,25;-66,50;79,64
12,178;-43,75;-5,50;-66,50;79,79
12,230;-44,00;-5,75;-67,00;80,36
12,278;-43,50;-5,50;-67,00;80,07
12,329;-43,50;-5,50;-67,00;80,07
12,380;-43,50;-5,50;-67,00;80,07
12,432;-43,50;-5,50;-67,00;80,07
12,478;-43,50;-5,50;-67,00;80,07
12,528;-43,50;-5,50;-67,00;80,07
12,579;-44,25;-7,75;-65,25;79,22
12,630;-44,50;-15,75;-58,75;75,36
12,680;-67,00;-64,75;61,25;111,50
12,730;84,00;-218,25;-223,50;323,48
12,782;50,25;-147,50;-175,00;234,32
12,881;-20,00;-37,50;-89,00;98,63
12,932;-33,50;-18,75;-75,75;84,92
12,982;-38,50;-9,75;-70,50;80,92
13,032;-40,75;-6,50;-67,50;79,11
13,082;-40,75;-6,50;-67,50;79,11
13,131;-42,75;-6,00;-67,00;79,70
13,182;-43,50;-5,75;-67,25;80,30
13,233;-43,75;-4,75;-67,00;80,16
13,332;-44,50;-4,25;-66,50;80,13
13,382;-44,50;-4,00;-66,50;80,12
13,432;-44,25;-4,00;-65,75;79,35
13,481;-44,75;-4,25;-66,25;80,06
13,532;-45,25;-4,50;-66,50;80,56
13,582;-45,00;-4,00;-66,25;80,19
13,632;-45,00;-4,00;-66,25;80,19
13,682;-45,00;-4,00;-66,25;80,19
13,732;-45,00;-4,00;-66,25;80,19
13,782;-45,00;-4,00;-66,25;80,19
13,833;-46,50;-2,25;-65,00;79,95
13,882;-53,50;1,00;-59,75;80,21
13,935;-98,00;1,25;1,00;98,01
13,984;134,50;101,50;-420,75;453,24
14,035;48,50;86,50;-295,75;311,93
14,134;-4,50;43,00;-175,75;180,99
14,185;-28,25;17,25;-113,75;118,47
14,284;-41,25;-0,50;-74,75;85,38
14,335;-42,75;-2,75;-70,00;82,07
14,385;-43,25;-3,50;-67,50;80,24
14,436;-43,25;-4,00;-67,00;79,85
14,484;-43,25;-4,25;-66,50;79,44
14,534;-43,75;-4,75;-66,50;79,74
14,585;-43,75;-5,00;-66,50;79,76
14,644;-44,25;-4,50;-66,50;80,00
14,685;-44,25;-4,50;-66,50;80,00
14,745;-44,50;-4,50;-66,50;80,14
14,787;-44,50;-4,50;-66,50;80,14
14,842;-44,50;-4,50;-66,50;80,14
14,885;-44,50;-4,50;-66,50;80,14
14,949;-43,50;-5,00;-66,00;79,20
14,987;-43,50;-5,25;-65,25;78,60
15,047;-42,00;-6,25;-65,25;77,85
15,087;-42,00;-6,25;-65,25;77,85
15,139;-34,00;-9,00;-57,00;66,98
15,188;17,50;-0,25;30,50;35,16
15,242;348,00;106,75;-178,00;405,20
15,287;212,25;58,75;-141,25;261,64
15,342;83,00;23,50;-101,50;133,20
15,387;13,25;7,00;-81,25;82,62
15,449;-19,00;0,00;-71,75;74,22
15,487;-33,00;-3,00;-68,75;76,32
15,542;-39,75;-4,00;-67,00;78,01
15,587;-42,00;-4,25;-66,25;78,56
15,641;-43,50;-4,50;-66,50;79,59
15,687;-43,75;-4,75;-66,00;79,33
15,742;-44,25;-4,50;-66,00;79,59
15,788;-43,75;-4,75;-66,25;79,53
15,887;-44,00;-4,25;-67,00;80,27
15,950;-44,00;-5,00;-67,50;80,73
15,988;-43,25;-4,75;-66,75;79,68
16,046;-43,25;-5,00;-66,00;79,07
16,145;-44,25;-5,25;-66,25;79,84
16,193;-43,25;-5,25;-66,75;79,71
16,251;-43,50;-6,00;-66,25;79,48
16,342;-43,25;-9,00;-66,50;79,84
16,393;-42,75;-19,00;-66,50;81,31
16,442;-11,75;-113,75;-125,50;169,79
16,492;-231,25;101,75;-320,25;407,91
16,542;-181,00;63,25;-209,50;283,99
16,593;-114,25;24,25;-130,25;174,95
16,645;-76,25;6,00;-92,50;120,03
16,693;-58,00;-1,50;-77,00;96,41
16,748;-49,00;-3,75;-70,00;85,53
16,795;-46,25;-4,75;-68,25;82,58
16,850;-44,50;-5,00;-67,50;81,00
16,893;-43,75;-5,25;-66,75;79,98
16,948;-43,00;-5,75;-66,25;79,19
16,994;-44,00;-6,00;-66,50;79,96
17,051;-44,00;-5,75;-66,00;79,53
17,095;-44,00;-5,75;-66,00;79,53
17,149;-44,00;-5,75;-66,75;80,15
17,195;-44,00;-6,00;-66,75;80,17
17,251;-43,75;-5,25;-66,50;79,77
17,300;-43,25;-5,25;-66,00;79,08
17,352;-43,00;-5,25;-65,75;78,74
17,402;-43,00;-5,25;-65,75;78,74
17,459;-42,75;-5,00;-65,75;78,59
17,503;-42,25;-5,25;-65,00;77,70
17,554;-40,50;-6,00;-64,25;76,19
17,604;-37,25;-8,25;-61,25;72,16
17,653;-22,75;-16,25;-41,00;49,62
17,703;18,50;59,50;247,75;255,47
17,753;184,75;-32,75;2,75;187,65
17,803;108,75;-42,75;-54,25;128,83
17,852;34,25;-30,50;-65,00;79,55
17,903;-7,25;-18,75;-65,75;68,75
17,955;-27,50;-12,75;-66,00;72,63
18,004;-36,00;-9,50;-66,50;76,21
18,056;-40,50;-7,50;-66,75;78,44
18,104;-42,50;-6,50;-66,50;79,19
18,158;-43,75;-5,75;-66,75;80,02
18,205;-43,75;-5,00;-66,50;79,76
18,305;-43,50;-5,25;-66,25;79,43
18,365;-43,50;-5,25;-66,00;79,22
18,405;-43,50;-5,25;-65,75;79,01
18,461;-43,25;-6,00;-65,75;78,93
18,557;-44,50;-5,00;-66,00;79,76
18,606;-44,00;-5,25;-65,75;79,29
18,656;-44,00;-5,00;-66,00;79,48
18,705;-44,25;-6,00;-66,25;79,89
18,764;-44,25;-6,25;-66,00;79,71
18,867;-43,00;-12,50;-65,25;79,14
18,906;-32,50;-37,00;-73,00;88,06
18,956;133,75;-160,50;-422,50;471,33
19,007;-67,25;-109,00;-191,00;229,97
19,069;-67,25;-109,00;-191,00;229,97
19,165;-56,75;-31,75;-80,75;103,68
19,212;-49,00;-17,00;-71,50;88,33
19,272;-45,25;-10,25;-67,75;82,11
19,362;-43,75;-5,75;-66,25;79,60
19,412;-44,00;-5,25;-66,25;79,70
19,474;-43,75;-5,00;-66,00;79,34
19,511;-43,00;-4,00;-65,25;78,25
19,561;-43,25;-4,00;-65,50;78,59
19,612;-44,00;-4,50;-66,25;79,66
19,664;-43,75;-4,75;-66,25;79,53
19,714;-43,50;-5,00;-66,25;79,41
19,771;-43,50;-4,75;-66,00;79,19
19,814;-43,00;-5,00;-66,25;79,14
19,869;-43,00;-5,50;-66,25;79,17
19,914;-43,50;-5,50;-66,25;79,45
19,965;-43,50;-5,50;-66,00;79,24
20,015;-42,25;-6,50;-64,75;77,59
20,115;-41,00;-16,50;-56,75;71,93
20,168;-52,00;-50,00;-7,25;72,50
20,266;-279,25;-9,75;-491,25;565,16
20,315;-149,25;-31,50;-269,25;309,46
20,372;-88,75;-24,25;-154,00;179,39
20,417;-62,75;-15,25;-102,25;120,93
20,471;-52,50;-10,00;-80,75;96,83
20,516;-47,50;-6,75;-72,25;86,73
20,566;-45,25;-6,00;-69,00;82,73
20,616;-44,50;-5,75;-67,00;80,64
20,667;-44,25;-5,50;-66,75;80,27
20,716;-44,00;-5,25;-67,00;80,33
20,771;-43,25;-5,25;-67,00;79,92
20,817;-44,00;-5,25;-67,00;80,33
20,867;-44,50;-5,50;-67,25;80,83
20,916;-44,25;-5,00;-66,75;80,24
20,966;-43,75;-4,50;-66,25;79,52
21,016;-43,75;-4,50;-65,50;78,90
21,066;-43,75;-4,50;-65,50;78,90
21,115;-44,00;-4,75;-65,75;79,26
21,170;-43,25;-5,25;-66,00;79,08
21,217;-42,75;-6,00;-66,00;78,86
21,273;-42,25;-7,50;-66,00;78,72
21,316;-39,50;-10,75;-66,00;77,66
21,368;-29,25;-19,50;-69,50;77,88
21,417;34,00;-53,50;-112,50;129,13
21,467;-4,00;419,25;-97,50;430,46
21,516;2,50;214,50;-9,50;214,72
21,580;-7,50;84,25;-19,75;86,86
21,616;-21,75;29,50;-40,50;54,62
21,674;-32,00;8,25;-54,25;63,52
21,715;-37,75;0,00;-60,50;71,31
21,771;-40,50;-2,75;-62,75;74,74
21,817;-42,25;-4,25;-64,75;77,43
21,883;-42,75;-4,75;-65,25;78,15
21,915;-43,25;-3,75;-66,50;79,42
21,975;-43,25;-3,75;-66,75;79,63
22,016;-43,75;-4,50;-66,75;79,94
22,116;-43,75;-4,00;-66,50;79,70
22,179;-43,00;-4,50;-65,75;78,69
22,217;-43,75;-5,00;-66,25;79,55
22,279;-44,25;-5,25;-66,50;80,05
22,316;-43,75;-5,25;-66,75;79,98
22,380;-43,50;-5,25;-67,00;80,06
22,418;-44,00;-5,75;-66,50;79,95
22,517;-44,00;-8,00;-65,25;79,10
22,581;-46,50;-10,50;-63,25;79,20
22,618;-55,25;-16,75;-58,25;82,01
22,672;-151,75;-25,25;-63,00;166,24
22,718;-211,25;-360,75;-480,25;636,72
22,772;-145,75;-264,75;-316,75;437,80
22,819;-95,00;-140,50;-182,25;248,96
22,918;-54,50;-33,00;-86,50;107,43
22,980;-48,75;-17,25;-74,50;90,69
23,019;-46,00;-10,75;-70,00;84,45
23,070;-46,00;-10,75;-70,00;84,45
23,119;-45,50;-7,25;-68,25;82,35
23,178;-44,00;-6,00;-67,50;80,80
23,220;-43,50;-5,50;-67,50;80,49
23,319;-43,50;-5,25;-66,50;79,64
23,380;-43,00;-4,75;-67,00;79,75
23,419;-43,00;-5,00;-66,75;79,56
23,472;-43,50;-5,25;-66,50;79,64
23,522;-43,75;-5,25;-67,25;80,40
23,572;-43,50;-4,50;-67,25;80,22
23,623;-43,00;-4,75;-66,00;78,91
23,672;-43,00;-5,25;-66,25;79,16
23,723;-42,00;-5,50;-67,00;79,27
23,772;-39,75;-6,00;-67,25;78,35
23,824;-34,25;-8,25;-67,25;75,92
23,923;117,75;20,25;-148,25;190,40
23,974;61,50;181,75;193,75;272,68
24,024;35,00;87,00;130,25;160,50
24,075;35,00;87,00;130,25;160,50
24,124;-1,00;33,00;33,00;46,68
24,174;-22,25;9,25;-21,25;32,13
24,226;-33,50;-0,75;-46,75;57,52
24,325;-40,50;-5,50;-62,75;74,89
24,374;-41,50;-5,75;-64,75;77,12
24,425;-42,00;-5,50;-65,75;78,21
24,475;-42,00;-5,75;-65,75;78,23
24,524;-42,50;-5,50;-66,75;79,32
24,575;-44,00;-5,75;-66,50;79,95
24,626;-43,75;-6,00;-66,50;79,83
24,725;-43,50;-5,25;-66,50;79,64
24,774;-43,75;-4,75;-66,00;79,33
24,826;-44,25;-5,50;-66,50;80,07
24,875;-43,75;-5,75;-65,75;79,18
24,925;-43,75;-6,00;-66,00;79,41
24,975;-44,25;-6,75;-65,75;79,54
25,028;-44,50;-9,25;-65,00;79,31
25,126;-61,75;-32,00;-39,50;79,98
