
time;gfx;gFy;gFz;Bx;By;Bz;
0,0160;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0170;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0180;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0180;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0190;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0200;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0210;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0220;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0230;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0410;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0700;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0710;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0720;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0760;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0860;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,0960;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,1040;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,1150;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,1230;-0,0137;-0,0997;0,9890;12,5000;3,7500;50,5000;
0,1430;-0,0137;-0,0997;0,9890;12,2500;4,0000;51,2500;
0,1450;-0,0137;-0,0997;0,9890;12,2500;4,0000;51,2500;
0,1540;-0,0137;-0,0997;0,9890;12,2500;4,0000;51,2500;
0,1630;-0,0098;-0,0977;0,9890;12,2500;4,0000;51,2500;
0,1640;-0,0098;-0,0977;0,9890;12,2500;4,0000;51,2500;
0,1650;-0,0098;-0,0977;0,9890;12,2500;4,0000;51,2500;
0,1730;-0,0098;-0,0977;0,9890;12,2500;4,0000;51,2500;
