0,0100;-0,0274;0,6215;0,8639;1,065
0,0110;-0,0254;0,6411;0,7798;1,010
0,0120;-0,0039;0,6372;0,6645;0,921
0,0130;-0,0137;0,6274;0,6860;0,930
0,0140;-0,0352;0,6235;0,7095;0,945
0,0140;-0,0156;0,6157;0,7466;0,968
0,0150;0,0059;0,5785;0,8443;1,024
0,0230;0,0059;0,5766;0,8404;1,019
0,0420;0,0137;0,5902;0,8854;1,064
0,0430;0,0313;0,5961;0,8736;1,058
0,0630;0,0391;0,5981;0,8385;1,031
0,0640;0,0313;0,6020;0,8111;1,011
0,0990;0,0176;0,6059;0,7701;0,980
0,1000;0,0176;0,6137;0,7310;0,955
0,1010;0,0274;0,6235;0,7544;0,979
0,1020;0,0195;0,6157;0,7857;0,998
0,1180;0,0000;0,6117;0,8013;1,008
0,1450;-0,0137;0,6137;0,7955;1,005
0,1460;-0,0391;0,6078;0,8072;1,011
0,1460;-0,0293;0,6098;0,7916;1,000
0,1490;-0,0156;0,6020;0,7876;0,991
0,1590;-0,0020;0,5922;0,7857;0,984
0,1880;-0,0098;0,5942;0,7955;0,993
0,1940;-0,0059;0,6000;0,7701;0,976
0,2050;-0,0059;0,5961;0,7583;0,965
0,2110;0,0000;0,5981;0,7955;0,995
0,2240;0,0000;0,5981;0,8052;1,003
0,2440;0,0000;0,6020;0,8052;1,005
0,2450;-0,0059;0,5981;0,8131;1,009
0,2610;-0,0176;0,5902;0,8131;1,005
0,2620;-0,0195;0,5883;0,8052;0,997
0,2790;-0,0195;0,5902;0,8072;1,000
0,2800;-0,0117;0,5942;0,7818;0,982
0,3220;-0,0059;0,5961;0,7486;0,957
0,3230;-0,0078;0,6039;0,7525;0,965
0,3240;-0,0059;0,6059;0,7505;0,965
0,3240;0,0059;0,6000;0,7525;0,962
0,3360;0,0235;0,5981;0,7798;0,983
0,3530;0,0156;0,6000;0,7857;0,989
0,3540;0,0078;0,5981;0,7916;0,992
0,3700;-0,0020;0,6020;0,7974;0,999
0,3710;-0,0059;0,5961;0,7994;0,997
0,3880;-0,0039;0,5981;0,7798;0,983
0,3900;-0,0098;0,5981;0,7935;0,994
0,4170;-0,0117;0,6020;0,8013;1,002
0,4180;-0,0078;0,6059;0,8072;1,009
0,4190;0,0000;0,6117;0,7955;1,003
0,4330;0,0078;0,6039;0,7857;0,991
0,4390;0,0117;0,6078;0,7798;0,989
0,4490;0,0117;0,6117;0,7818;0,993
0,4590;0,0235;0,6059;0,7857;0,992
0,4710;0,0156;0,6039;0,7759;0,983
0,5050;0,0000;0,6059;0,7779;0,986
0,5050;-0,0098;0,6039;0,7818;0,988
0,5060;-0,0254;0,5961;0,7837;0,985
0,5090;-0,0293;0,5942;0,7935;0,992
0,5200;-0,0293;0,5942;0,8033;1,000
0,5300;-0,0293;0,5922;0,8189;1,011
0,5390;-0,0156;0,5961;0,8248;1,018
0,5490;-0,0176;0,5981;0,8170;1,013
0,5600;-0,0137;0,6020;0,8052;1,005
0,5780;-0,0078;0,6020;0,7857;0,990
0,5790;-0,0137;0,6059;0,7564;0,969
0,6000;-0,0235;0,6020;0,7583;0,968
0,6010;-0,0215;0,6000;0,7681;0,975
0,6110;-0,0137;0,5942;0,7681;0,971
0,6190;0,0039;0,5981;0,7583;0,966
0,6300;0,0098;0,6020;0,7622;0,971
0,6390;0,0098;0,5981;0,7759;0,980
0,6490;0,0000;0,6000;0,7837;0,987
