1,1220;-0,0489;0,1270;0,9968;1,006
1,1230;-0,0489;0,1231;0,9968;1,006
1,1370;-0,0528;0,1270;0,9890;0,998
1,1410;-0,0508;0,1270;0,9870;0,996
1,1520;-0,0508;0,1270;0,9831;0,993
1,1610;-0,0489;0,1270;0,9753;0,985
1,1720;-0,0508;0,1290;0,9675;0,977
1,2030;-0,0547;0,1290;0,9733;0,983
1,2050;-0,0528;0,1270;0,9753;0,985
1,2050;-0,0547;0,1290;0,9792;0,989
1,2140;-0,0528;0,1290;0,9714;0,981
1,2270;-0,0508;0,1309;0,9714;0,981
1,2440;-0,0528;0,1309;0,9714;0,982
1,2450;-0,0508;0,1329;0,9714;0,982
1,2520;-0,0469;0,1270;0,9753;0,985
1,2610;-0,0469;0,1290;0,9753;0,985
1,2720;-0,0489;0,1270;0,9792;0,989
1,3020;-0,0508;0,1329;0,9831;0,993
1,3030;-0,0489;0,1290;0,9811;0,991
1,3040;-0,0489;0,1290;0,9811;0,991
1,3200;-0,0469;0,1309;0,9792;0,989
1,3220;-0,0489;0,1290;0,9831;0,993
1,3350;-0,0469;0,1309;0,9792;0,989
1,3420;-0,0489;0,1290;0,9792;0,989
1,3520;-0,0450;0,1309;0,9811;0,991
1,3610;-0,0469;0,1309;0,9850;0,995
1,3720;-0,0450;0,1290;0,9850;0,994
1,4000;-0,0469;0,1309;0,9792;0,989
1,4010;-0,0469;0,1329;0,9811;0,991
1,4020;-0,0469;0,1329;0,9811;0,991
1,4320;-0,0469;0,1329;0,9850;0,995
1,4330;-0,0469;0,1309;0,9831;0,993
1,4340;-0,0469;0,1270;0,9772;0,987
1,4420;-0,0450;0,1290;0,9753;0,985
1,4520;-0,0450;0,1290;0,9772;0,987
1,4620;-0,0430;0,1290;0,9753;0,985
1,4720;-0,0430;0,1309;0,9733;0,983
1,5060;-0,0469;0,1231;0,9753;0,984
1,5070;-0,0469;0,1251;0,9850;0,994
1,5070;-0,0469;0,1270;0,9850;0,994
1,5150;-0,0469;0,1251;0,9850;0,994
1,5240;-0,0450;0,1251;0,9831;0,992
1,5390;-0,0430;0,1290;0,9792;0,989
1,5420;-0,0391;0,1290;0,9792;0,988
1,5520;-0,0410;0,1290;0,9753;0,985
1,5610;-0,0410;0,1290;0,9733;0,983
1,5720;-0,0430;0,1290;0,9753;0,985
1,6020;-0,0430;0,1251;0,9792;0,988
1,6030;-0,0469;0,1290;0,9772;0,987
1,6460;-0,0469;0,1290;0,9753;0,985
1,6490;-0,0469;0,1270;0,9733;0,983
1,6510;-0,0508;0,1290;0,9714;0,981
1,6530;-0,0489;0,1251;0,9714;0,981
1,6540;-0,0489;0,1231;0,9733;0,982
1,6550;-0,0469;0,1251;0,9753;0,984
1,6620;-0,0469;0,1231;0,9811;0,990
1,6720;-0,0450;0,1231;0,9831;0,992
1,6900;-0,0430;0,1251;0,9850;0,994
1,6920;-0,0410;0,1251;0,9870;0,996
1,7140;-0,0391;0,1251;0,9850;0,994
1,7150;-0,0391;0,1270;0,9850;0,994
1,7220;-0,0430;0,1270;0,9870;0,996
1,7330;-0,0430;0,1231;0,9909;0,999
1,7420;-0,0450;0,1231;0,9909;1,000
1,7520;-0,0469;0,1231;0,9870;0,996
1,7610;-0,0469;0,1231;0,9850;0,994
1,7720;-0,0469;0,1231;0,9811;0,990
1,7980;-0,0469;0,1192;0,9831;0,991
1,7990;-0,0450;0,1173;0,9850;0,993
1,8190;-0,0450;0,1153;0,9831;0,991
1,8210;-0,0489;0,1153;0,9909;0,999
1,8220;-0,0469;0,1173;0,9890;0,997
1,8340;-0,0469;0,1134;0,9909;0,998
1,8420;-0,0469;0,1173;0,9870;0,995
1,8520;-0,0450;0,1192;0,9831;0,991
1,8610;-0,0450;0,1192;0,9811;0,989
1,8720;-0,0450;0,1192;0,9772;0,985
1,8940;-0,0469;0,1212;0,9772;0,986
1,8950;-0,0469;0,1173;0,9792;0,987
1,9290;-0,0450;0,1173;0,9792;0,987
1,9300;-0,0469;0,1192;0,9733;0,982
1,9310;-0,0469;0,1212;0,9675;0,976
1,9320;-0,0410;0,1173;0,9694;0,977
1,9440;-0,0450;0,1173;0,9714;0,979
1,9600;-0,0489;0,1192;0,9772;0,986
1,9620;-0,0469;0,1212;0,9850;0,994
1,9750;-0,0508;0,1192;0,9929;1,001
1,9910;-0,0469;0,1212;0,9890;0,997
1,9920;-0,0469;0,1192;0,9870;0,995
2,0090;-0,0469;0,1192;0,9850;0,993
2,0210;-0,0469;0,1192;0,9831;0,991
2,0220;-0,0430;0,1192;0,9792;0,987
2,0380;-0,0430;0,1212;0,9772;0,986
2,0420;-0,0450;0,1173;0,9811;0,989
2,0520;-0,0489;0,1192;0,9831;0,991
2,0610;-0,0489;0,1212;0,9850;0,994
2,0720;-0,0469;0,1192;0,9890;0,997
2,0980;-0,0489;0,1212;0,9831;0,992
2,1000;-0,0489;0,1212;0,9850;0,994
2,1020;-0,0450;0,1212;0,9850;0,993
2,1120;-0,0450;0,1212;0,9811;0,990
2,1220;-0,0450;0,1231;0,9811;0,990
2,1320;-0,0450;0,1192;0,9772;0,985
2,1420;-0,0450;0,1212;0,9772;0,986
2,1520;-0,0508;0,1251;0,9753;0,985
2,1610;-0,0528;0,1251;0,9753;0,985
2,1720;-0,0489;0,1251;0,9811;0,990
2,1970;-0,0508;0,1231;0,9733;0,982
2,1980;-0,0508;0,1251;0,9714;0,981
2,2210;-0,0508;0,1270;0,9694;0,979
2,2230;-0,0469;0,1173;0,9635;0,972
2,2240;-0,0469;0,1192;0,9655;0,974
2,2320;-0,0469;0,1192;0,9675;0,976
2,2420;-0,0469;0,1212;0,9675;0,976
2,2520;-0,0508;0,1173;0,9792;0,987
2,2610;-0,0528;0,1153;0,9909;0,999
2,2720;-0,0547;0,1192;0,9968;1,005
2,3020;-0,0547;0,1192;0,9987;1,007
2,3030;-0,0547;0,1134;1,0007;1,009
2,3040;-0,0567;0,1212;1,0026;1,012
2,3330;-0,0586;0,1231;0,9987;1,008
2,3350;-0,0547;0,1212;0,9909;1,000
2,3360;-0,0489;0,1212;0,9831;0,992
2,3420;-0,0469;0,1231;0,9753;0,984
2,3520;-0,0469;0,1270;0,9733;0,983
2,3620;-0,0469;0,1231;0,9733;0,982
2,3720;-0,0410;0,1270;0,9733;0,982
2,3930;-0,0410;0,1212;0,9694;0,978
2,4110;-0,0391;0,1290;0,9675;0,977
2,4120;-0,0410;0,1290;0,9733;0,983
2,4120;-0,0410;0,1309;0,9733;0,983
2,4340;-0,0430;0,1290;0,9772;0,987
2,4350;-0,0430;0,1270;0,9792;0,988
2,4420;-0,0450;0,1270;0,9792;0,988
2,4520;-0,0410;0,1212;0,9753;0,984
2,4620;-0,0391;0,1192;0,9753;0,983
2,4720;-0,0391;0,1173;0,9792;0,987
2,4830;-0,0430;0,1173;0,9850;0,993
2,4970;-0,0410;0,1173;0,9909;0,999
2,5100;-0,0410;0,1153;0,9948;1,002
2,5360;-0,0430;0,1192;0,9987;1,007
2,5370;-0,0508;0,1192;1,0046;1,013
2,5380;-0,0547;0,1192;1,0007;1,009
2,5420;-0,0489;0,1231;0,9890;0,998
2,5520;-0,0489;0,1192;0,9792;0,988
2,5610;-0,0469;0,1212;0,9714;0,980
2,5720;-0,0489;0,1231;0,9538;0,963
2,5830;-0,0508;0,1270;0,9557;0,965
2,5920;-0,0508;0,1251;0,9577;0,967
2,6100;-0,0528;0,1251;0,9577;0,967
